Name,Grade Level,PhysicsScore,BiologyScore,MathematicsScore,EnglishScore,SportsParticipation,SportsAchievements,ExtracurricularActivities,LeadershipRole,CareerAspiration,STEMPathway
Ian Kibera, 12,98,51,64,58,0,School Level,Art Club,,Surgeon,0
Beatrice Achieng, 9,64,66,63,100,0,County Level,Debate Club,Class Representative,Accountant,1
Mercy Kimeu, 8,85,53,61,85,0,School Level,Music Club,Class Representative,Engineer,1
Hannah Kilonzo, 10,83,85,68,56,1,0ne,Drama Club,,Teacher,1
Brenda Juma, 12,78,94,56,63,1,0ne,Art Club,Class Representative,Doctor,1
Ann Kariuki, 12,83,,62,99,0,County Level,Drama Club,Club Leader,Surgeon,0
Lilian Chege, 8,99,66,69,62,1,National Level,Art Club,Club Leader,Pharmacist,0
Nelson Nyambura, 10,68,90,75,68,0,0ne,Drama Club,Class Representative,Lawyer,0
Irene Otieno, 8,67,70,91,86,0,0ne,0ne,Class Representative,Engineer,0
Ann Kamau, 10,52,83,78,75,0,School Level,Music Club,,Teacher,1
Dennis Atieno, 11,99,93,85,91,0,County Level,Music Club,,Doctor,0
Samuel Chege, 10,60,51,,89,0,County Level,0ne,Club Leader,Pharmacist,0
Ann Nyakundi, 7,61,51,65,62,1,National Level,Art Club,Class Representative,Artist,0
Samuel Kibera, 10,74,50,90,55,1,County Level,Drama Club,Class Representative,Musician,0
Fredrick Oduor, 8,50,79,75,56,1,0ne,Music Club,Class Representative,Doctor,1
Jacinta Koome, 7,83,61,56,60,1,County Level,Debate Club,Club Leader,Lawyer,0
Martin Mwikali, 7,95,65,56,89,1,0ne,0ne,Class Representative,Pilot,0
Lucy Onyango, 11,62,54,61,54,1,School Level,Drama Club,Club Leader,Surgeon,1
Fredrick Achieng, 7,76,69,58,77,1,0ne,Art Club,,Athlete,1
Jacinta Wambui, 11,53,51,97,74,0,National Level,Debate Club,,Surgeon,1
John Chirchir, 12,,99,73,64,0,County Level,Debate Club,,Pilot,1
Dorcas Simiyu, 12,50,67,88,,1,National Level,Drama Club,Class Representative,Musician,1
James Wangechi, 11,84,83,65,64,0,0ne,Art Club,,Musician,0
Susan Kigen, 8,61,58,79,64,0,County Level,Debate Club,Club Leader,Accountant,1
Rose Mutua, 9,69,,75,91,1,National Level,Art Club,Class Representative,Accountant,0
Stephen Achieng, 11,55,77,83,83,1,School Level,0ne,,Doctor,0
Fredrick Nyambura, 11,69,67,58,67,1,0ne,0ne,Class Representative,Pharmacist,1
Tom Chege, 8,70,58,72,74,0,0ne,Science Club,Class Representative,Teacher,1
Sarah Kirui, 10,89,87,62,75,1,National Level,Science Club,Class Representative,Musician,0
Joseph Makori, 7,95,52,78,54,0,National Level,Drama Club,Class Representative,Musician,0
Agnes Kimeu, 10,67,85,69,53,1,0ne,Debate Club,Club Leader,Pilot,0
Dorcas Kariuki, 12,,76,83,73,0,School Level,Science Club,,Surgeon,1
Stella Wanjiku, 12,99,57,68,57,1,School Level,Art Club,Club Leader,Engineer,0
Brenda Wairimu, 9,95,83,51,,1,0ne,Science Club,Class Representative,Musician,1
Francis Otieno, 12,53,88,84,63,0,National Level,Music Club,,Artist,1
Eliud Atieno, 9,60,,97,55,0,School Level,Debate Club,Club Leader,Musician,0
David Wambui, 10,70,96,100,96,0,School Level,Science Club,Club Leader,Musician,1
Rose Kamau, 8,81,68,,76,0,School Level,Drama Club,Club Leader,Pilot,1
Grace Mutua, 8,64,63,95,74,1,County Level,0ne,Club Leader,Lawyer,1
Joseph Kilonzo, 7,87,98,94,69,1,0ne,0ne,Club Leader,Pilot,1
Irene Oduor, 7,71,,98,70,0,County Level,Music Club,,Artist,0
Brenda Koome, 8,95,52,51,57,1,0ne,Debate Club,,Pilot,0
Dennis Onyango, 6,94,85,73,95,0,School Level,Art Club,Club Leader,Doctor,0
Grace Atieno, 7,52,63,86,68,1,National Level,Debate Club,Club Leader,Pharmacist,1
Hannah Njoroge, 7,66,100,55,79,0,National Level,Art Club,Class Representative,Musician,0
Henry Wambui, 7,92,,,53,0,County Level,Music Club,Club Leader,Accountant,0
Paul Otieno, 11,,51,88,55,0,National Level,Science Club,Club Leader,Doctor,0
David Wamuyu, 9,97,86,53,92,1,0ne,Music Club,,Doctor,0
Brenda Chirchir, 9,96,83,55,80,1,County Level,Drama Club,,Teacher,0
Mary Kimeu, 9,99,88,73,50,0,National Level,0ne,Class Representative,Pilot,0
Rose Achieng, 10,,81,,68,0,County Level,Debate Club,Class Representative,Data Scientist,0
Mercy Kiplangat, 9,71,69,74,59,1,County Level,Music Club,,Teacher,1
John Mwikali, 8,95,85,,,0,County Level,Drama Club,Club Leader,Musician,0
Kevin Kariuki, 7,,84,,,1,National Level,Music Club,Club Leader,Pilot,0
Sarah Kiplangat, 10,55,87,56,94,1,0ne,Debate Club,Class Representative,Surgeon,0
Jacinta Kilonzo, 8,77,60,88,100,0,School Level,Science Club,,Doctor,1
Faith Otieno, 10,77,100,89,92,1,School Level,0ne,Club Leader,Doctor,1
Mary Njoroge, 12,92,91,74,81,0,0ne,Music Club,Class Representative,Surgeon,1
Lucy Chege, 9,89,65,53,86,0,National Level,Debate Club,Club Leader,Engineer,0
Hannah Juma, 7,50,57,79,62,0,0ne,0ne,Class Representative,Artist,0
Paul Wanjiku, 6,74,90,92,96,0,County Level,Debate Club,,Pilot,1
Fredrick Nyakundi, 12,88,77,81,94,1,County Level,0ne,Class Representative,Musician,0
Nelson Oduor, 10,69,80,65,58,0,National Level,Science Club,Class Representative,Teacher,0
Irene Doe, 6,62,81,54,76,1,School Level,0ne,Class Representative,Engineer,1
Ann Koome, 10,,64,90,,0,School Level,Science Club,Class Representative,Artist,0
Mercy Nyambura, 12,96,56,71,100,1,County Level,Art Club,,Musician,1
Samuel Akinyi, 12,86,60,58,,0,School Level,Drama Club,Class Representative,Artist,0
Nelson Nyambura, 7,77,57,79,58,1,County Level,0ne,,Pharmacist,1
Francis Juma, 9,93,,65,73,1,School Level,Music Club,,Data Scientist,0
Joseph Kibera, 8,53,96,97,92,1,National Level,Drama Club,Class Representative,Musician,0
Dorcas Nyambura, 9,90,98,,,0,School Level,Drama Club,Club Leader,Data Scientist,0
Samuel Otieno, 12,63,52,79,85,0,National Level,Art Club,,Artist,1
Brenda Kirui, 9,80,62,99,81,1,National Level,Debate Club,Club Leader,Surgeon,0
Lilian Doe, 9,68,,79,55,1,National Level,Music Club,Class Representative,Musician,0
Samuel Achieng, 12,54,97,98,52,0,0ne,Debate Club,Club Leader,Artist,1
Jacinta Ngoya, 8,74,53,52,52,0,School Level,Art Club,,Data Scientist,1
Sarah Nyakundi, 11,61,100,87,89,0,School Level,Debate Club,Club Leader,Accountant,1
John Wamuyu, 8,58,84,60,93,0,County Level,Debate Club,Class Representative,Pharmacist,0
Alex Atieno, 12,54,59,69,60,1,0ne,Debate Club,,Accountant,0
Ian Chirchir, 8,71,51,,72,1,County Level,Art Club,,Musician,1
John Otieno, 7,70,98,78,62,1,School Level,Science Club,Club Leader,Doctor,0
Peter Chirchir, 8,52,82,99,56,1,County Level,Drama Club,Class Representative,Pharmacist,1
Elijah Kiprop, 8,88,80,61,66,1,National Level,Music Club,Club Leader,Musician,1
Susan Njoroge, 9,79,86,,,0,School Level,Drama Club,Class Representative,Pharmacist,1
Ian Makori, 7,61,90,52,51,0,0ne,Debate Club,Class Representative,Doctor,0
Agnes Achieng, 8,81,80,62,68,1,National Level,Debate Club,,Artist,1
Kevin Oduor, 6,94,88,68,53,1,National Level,Music Club,Club Leader,Accountant,0
Brenda Wanjiru, 10,70,72,62,59,0,National Level,Drama Club,Club Leader,Accountant,1
